ID Steves_ID ra dec x y
7541 z4_GND_4008 189.200735 62.179563 11121.361 6700.128
26656 z4_GND_11275 189.275773 62.272574 9024.206 12281.084
24702 z4_GND_14054 189.198784 62.263619 11173.678 11743.529
12615 z4_GND_34525 189.309962 62.205032 8064.693 8229.514
26192 z4_GND_11690 189.192761 62.270169 11341.642 12136.61
19461 z4_GND_23290 189.269997 62.238216 9184.122 10219.495
9428 z4_GND_38889 189.181407 62.189276 11662.172 7283.227
4102 z4_GND_1038 189.235393 62.156346 10150.736 5306.975
27862 z4_GND_9725 189.13763 62.278629 12880.077 12645.679
18745 z4_GND_24541 189.082717 62.234546 14418.678 10003.516
25882 z4_GND_12378 189.291388 62.26914 8588.102 12075.4
24504 z4_GND_14587 189.125128 62.262537 13230.563 11680.72
9032 z4_GND_39312 189.203363 62.187658 11047.582 7185.769
14263 z4_GND_31957 189.143373 62.212713 12725.003 8690.526
21212 z4_GND_20233 189.293392 62.246851 8530.808 10738.168
5217 z4_GND_1808 189.286145 62.16435 8728.892 5787.886
22708 z4_GND_17758 189.267857 62.253977 9244.525 11165.12
8026 z4_GND_40641 189.340481 62.182502 7208.475 6878.978
26185 z4_GND_11881 189.297175 62.270516 8426.607 12158.14
30424 z4_GND_44210 189.258771 62.292611 9499.391 13483.039
35229 z4_GND_5115 189.193662 62.326278 11314.67 15503.13
9222 z4_GND_39092 189.200675 62.188627 11122.801 7243.949
24893 z4_GND_13918 189.248179 62.264428 9794.38 11791.969
23672 z4_GND_16009 189.201482 62.258637 11098.472 11444.535
24470 z4_GND_14632 189.194587 62.262446 11290.901 11673.219
14396 z4_GND_31749 189.137079 62.213275 12901.021 8724.51
9179 z4_GND_39150 189.195792 62.188364 11259.524 7228.223
16477 z4_GND_28347 189.163579 62.224017 12159.141 9368.089
29044 z4_GND_8569 189.287237 62.284992 8704.849 13026.447
30713 z4_GND_43858 189.220803 62.294277 10558.589 13582.813
22782 z4_GND_17573 189.042201 62.254095 15547.771 11179.382
35583 z4_GND_4777 189.200739 62.329331 11117.399 15686.215
29303 z4_GND_44546 189.26346 62.2864 9368.374 13110.451
17798 z4_GND_26098 189.406171 62.23031 5377.075 9751.577
11356 z4_GND_36290 189.265348 62.198861 9312.711 7858.121
